  [2026-06-23T21:29:10.417714] I: {'ins_mode': 4, 'realtime_x': -1789.03, 'realtime_y': -195.48, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.501444] I: {'ins_mode': 4, 'realtime_x': -1667.25, 'realtime_y': -197.15, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.617550] I: {'ins_mode': 4, 'realtime_x': -1545.68, 'realtime_y': -198.85, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.659447] I: {'ins_mode': 4, 'realtime_x': -1424.27, 'realtime_y': -200.5, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.830099] I: {'ins_mode': 4, 'realtime_x': -1302.57, 'realtime_y': -202.27, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.833088] I: {'ins_mode': 4, 'realtime_x': -1180.09, 'realtime_y': -204.14, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:10.895750] I: {'ins_mode': 4, 'realtime_x': -1057.0, 'realtime_y': -206.29, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.050601] I: {'ins_mode': 4, 'realtime_x': -934.0, 'realtime_y': -208.72, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.061523] I: {'ins_mode': 4, 'realtime_x': -811.29, 'realtime_y': -211.38, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.135252] I: {'ins_mode': 4, 'realtime_x': -688.48, 'realtime_y': -214.33, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.267669] I: {'ins_mode': 4, 'realtime_x': -565.69, 'realtime_y': -217.33, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.299002] I: {'ins_mode': 4, 'realtime_x': -442.73, 'realtime_y': -220.42, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.382907] I: {'ins_mode': 4, 'realtime_x': -321.35, 'realtime_y': -223.07, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
  [2026-06-23T21:29:11.492104] I: {'ins_mode': 4, 'realtime_x': -204.64, 'realtime_y': -225.19, 'target_x': 0.0, 'target_y': 0.0, 'yaw_ins': 0.0, 'dis_ins': 0.0}
