type,x,y,ins_mode,dis_ins,yaw_ins,n,target,flag_save,comment
I,-5554.0,451.3,0,0.0,0.0,0,1,0,
I,-5569.2,453.8,0,0.0,0.0,0,1,0,
I,-5581.9,455.9,0,0.0,0.0,0,1,0,
I,-5591.5,457.5,0,0.0,0.0,0,1,0,
I,-5598.2,458.5,0,0.0,0.0,0,1,0,
I,-5600.2,458.9,0,0.0,0.0,0,1,0,
I,-5596.8,458.3,0,0.0,0.0,0,1,0,
I,-5585.1,456.5,0,0.0,0.0,0,1,0,
I,-5568.3,453.9,0,0.0,0.0,0,1,0,
I,-5547.4,450.6,0,0.0,0.0,0,1,0,
I,-5522.8,446.6,0,0.0,0.0,0,1,0,
I,-5496.3,442.3,0,0.0,0.0,0,1,0,
I,-5471.3,438.4,0,0.0,0.0,0,1,0,
I,-5449.4,434.8,0,0.0,0.0,0,1,0,
I,-5431.0,431.9,0,0.0,0.0,0,1,0,
I,-5416.2,429.5,0,0.0,0.0,0,1,0,
I,-5404.9,427.6,0,0.0,0.0,0,1,0,
I,-5398.6,426.5,0,0.0,0.0,0,1,0,
I,-5395.6,426.0,0,0.0,0.0,0,1,0,
I,-5391.6,425.3,0,0.0,0.0,0,1,0,
I,-5386.0,424.2,0,0.0,0.0,0,1,0,
I,-5378.0,422.7,0,0.0,0.0,0,1,0,
I,-5367.3,420.8,0,0.0,0.0,0,1,0,
I,-5354.7,418.5,0,0.0,0.0,0,1,0,
I,-5341.5,416.1,0,0.0,0.0,0,1,0,
I,-5328.8,413.8,0,0.0,0.0,0,1,0,
I,-5316.5,411.6,0,0.0,0.0,0,1,0,
I,-5304.6,409.5,0,0.0,0.0,0,1,0,
I,-5293.1,407.5,0,0.0,0.0,0,1,0,
I,-5281.3,405.5,0,0.0,0.0,0,1,0,
I,-5269.0,403.3,0,0.0,0.0,0,1,0,
I,-5256.6,401.0,0,0.0,0.0,0,1,0,
I,-5243.6,398.7,0,0.0,0.0,0,1,0,
I,-5229.6,396.1,0,0.0,0.0,0,1,0,
I,-5215.6,393.6,0,0.0,0.0,0,1,0,
I,-5202.1,391.2,0,0.0,0.0,0,1,0,
I,-5188.9,388.8,0,0.0,0.0,0,1,0,
I,-5176.2,386.6,0,0.0,0.0,0,1,0,
I,-5164.2,384.4,0,0.0,0.0,0,1,0,
I,-5152.7,382.3,0,0.0,0.0,0,1,0,
I,-5142.3,380.4,0,0.0,0.0,0,1,0,
I,-5133.4,378.8,0,0.0,0.0,0,1,0,
I,-5125.3,377.3,0,0.0,0.0,0,1,0,
I,-5117.7,376.0,0,0.0,0.0,0,1,0,
I,-5111.1,374.8,0,0.0,0.0,0,1,0,
I,-5105.6,373.8,0,0.0,0.0,0,1,0,
I,-5101.4,373.1,0,0.0,0.0,0,1,0,
I,-5098.8,372.6,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
I,-5098.5,372.5,0,0.0,0.0,0,1,0,
